date,family,value,method,n_firms,source_file,label,yyyymm,year
2026-02-03,all_market,0.07637966668201339,ICC calculation,2679,data/202602/icc_live_usall_2026_0203_r1.csv,all_market,202602,2026
2026-02-04,all_market,0.07850459661039352,ICC calculation,2679,data/202602/icc_live_usall_2026_0204_r1.csv,all_market,202602,2026
2026-02-05,all_market,0.07980948498270742,ICC calculation,2680,data/202602/icc_live_usall_2026_0205_r1.csv,all_market,202602,2026
2026-02-06,all_market,0.0796548119442111,ICC calculation,2678,data/202602/icc_live_usall_2026_0206_r1.csv,all_market,202602,2026
2026-02-09,all_market,0.07934333400673704,ICC calculation,2675,data/202602/icc_live_usall_2026_0209_r1.csv,all_market,202602,2026
2026-02-10,all_market,0.07946229400597292,ICC calculation,2677,data/202602/icc_live_usall_2026_0210_r1.csv,all_market,202602,2026
2026-02-11,all_market,0.07980777619098484,ICC calculation,2670,data/202602/icc_live_usall_2026_0211_r1.csv,all_market,202602,2026
2026-02-12,all_market,0.08084736642824873,ICC calculation,2670,data/202602/icc_live_usall_2026_0212_r1.csv,all_market,202602,2026
2026-02-13,all_market,0.08035371665282101,ICC calculation,2671,data/202602/icc_live_usall_2026_0213_r1.csv,all_market,202602,2026
2026-02-16,all_market,0.08085063430364686,ICC calculation,2667,data/202602/icc_live_usall_2026_0216_r1.csv,all_market,202602,2026
2026-02-17,all_market,0.08107438547557203,ICC calculation,2669,data/202602/icc_live_usall_2026_0217_r1.csv,all_market,202602,2026
2026-02-18,all_market,0.08079543445140301,ICC calculation,2674,data/202602/icc_live_usall_2026_0218_r1.csv,all_market,202602,2026
2026-02-19,all_market,0.08065706186656438,ICC calculation,2677,data/202602/icc_live_usall_2026_0219_r1.csv,all_market,202602,2026
2026-02-20,all_market,0.08013869666476511,ICC calculation,2680,data/202602/icc_live_usall_2026_0220_r1.csv,all_market,202602,2026
2026-02-23,all_market,0.08063573243873495,ICC calculation,2675,data/202602/icc_live_usall_2026_0223_r1.csv,all_market,202602,2026
2026-02-24,all_market,0.08032221802077492,ICC calculation,2677,data/202602/icc_live_usall_2026_0224_r1.csv,all_market,202602,2026
2026-02-25,all_market,0.08027522556300863,ICC calculation,2681,data/202602/icc_live_usall_2026_0225_r1.csv,all_market,202602,2026
2026-02-26,all_market,0.08027617972937484,ICC calculation,2684,data/202602/icc_live_usall_2026_0226_r1.csv,all_market,202602,2026
2026-02-27,all_market,0.08042145131520971,ICC calculation,2686,data/202602/icc_live_usall_2026_0227_r1.csv,all_market,202602,2026
2026-02-03,sp500,0.07110565703785837,ICC calculation,496,data/202602/icc_live_sp500_2026_0203_r1.csv,sp500,202602,2026
2026-02-04,sp500,0.07082231086169674,ICC calculation,496,data/202602/icc_live_sp500_2026_0204_r1.csv,sp500,202602,2026
2026-02-05,sp500,0.07497588609145042,ICC calculation,496,data/202602/icc_live_sp500_2026_0205_r1.csv,sp500,202602,2026
2026-02-06,sp500,0.07502093195326427,ICC calculation,496,data/202602/icc_live_sp500_2026_0206_r1.csv,sp500,202602,2026
2026-02-09,sp500,0.07473837330177734,ICC calculation,496,data/202602/icc_live_sp500_2026_0209_r1.csv,sp500,202602,2026
2026-02-10,sp500,0.07512630868991586,ICC calculation,496,data/202602/icc_live_sp500_2026_0210_r1.csv,sp500,202602,2026
2026-02-11,sp500,0.07539150669103345,ICC calculation,496,data/202602/icc_live_sp500_2026_0211_r1.csv,sp500,202602,2026
2026-02-12,sp500,0.07628148812249078,ICC calculation,496,data/202602/icc_live_sp500_2026_0212_r1.csv,sp500,202602,2026
2026-02-13,sp500,0.07641902308286991,ICC calculation,496,data/202602/icc_live_sp500_2026_0213_r1.csv,sp500,202602,2026
2026-02-16,sp500,0.07647095471625483,ICC calculation,496,data/202602/icc_live_sp500_2026_0216_r1.csv,sp500,202602,2026
2026-02-17,sp500,0.07660536099162935,ICC calculation,496,data/202602/icc_live_sp500_2026_0217_r1.csv,sp500,202602,2026
2026-02-18,sp500,0.07654050219861844,ICC calculation,496,data/202602/icc_live_sp500_2026_0218_r1.csv,sp500,202602,2026
2026-02-19,sp500,0.07677636393669138,ICC calculation,496,data/202602/icc_live_sp500_2026_0219_r1.csv,sp500,202602,2026
2026-02-20,sp500,0.07638525463045794,ICC calculation,496,data/202602/icc_live_sp500_2026_0220_r1.csv,sp500,202602,2026
2026-02-23,sp500,0.0770576837648785,ICC calculation,496,data/202602/icc_live_sp500_2026_0223_r1.csv,sp500,202602,2026
2026-02-24,sp500,0.07689768609460049,ICC calculation,496,data/202602/icc_live_sp500_2026_0224_r1.csv,sp500,202602,2026
2026-02-25,sp500,0.07673253543163475,ICC calculation,496,data/202602/icc_live_sp500_2026_0225_r1.csv,sp500,202602,2026
2026-02-26,sp500,0.07378859755320966,ICC calculation,496,data/202602/icc_live_sp500_2026_0226_r1.csv,sp500,202602,2026
2026-02-27,sp500,0.07395991999074679,ICC calculation,496,data/202602/icc_live_sp500_2026_0227_r1.csv,sp500,202602,2026
