date,family,value,method,n_firms,source_file,label,yyyymm,year
2026-01-15,sp500,0.06805037218643983,ICC calculation,496,data/202601/icc_live_sp500_2026_0115_r1.csv,sp500,202601,2026
2026-01-16,sp500,0.06817249582034454,ICC calculation,496,data/202601/icc_live_sp500_2026_0116_r1.csv,sp500,202601,2026
2026-01-19,sp500,0.06812944192730826,ICC calculation,496,data/202601/icc_live_sp500_2026_0119_r1.csv,sp500,202601,2026
2026-01-20,sp500,0.06928492488988393,ICC calculation,496,data/202601/icc_live_sp500_2026_0120_r1.csv,sp500,202601,2026
2026-01-21,sp500,0.0689539185928104,ICC calculation,495,data/202601/icc_live_sp500_2026_0121_r1.csv,sp500,202601,2026
2026-01-22,sp500,0.06882813785572822,ICC calculation,495,data/202601/icc_live_sp500_2026_0122_r1.csv,sp500,202601,2026
2026-01-23,sp500,0.0691114757150584,ICC calculation,495,data/202601/icc_live_sp500_2026_0123_r1.csv,sp500,202601,2026
2026-01-26,sp500,0.06898439095251283,ICC calculation,495,data/202601/icc_live_sp500_2026_0126_r1.csv,sp500,202601,2026
2026-01-27,sp500,0.06947907181125385,ICC calculation,495,data/202601/icc_live_sp500_2026_0127_r1.csv,sp500,202601,2026
2026-01-28,sp500,0.06948957834698481,ICC calculation,495,data/202601/icc_live_sp500_2026_0128_r1.csv,sp500,202601,2026
2026-01-29,sp500,0.06903422154965734,ICC calculation,497,data/202601/icc_live_sp500_2026_0129_r1.csv,sp500,202601,2026
2026-01-30,sp500,0.06949106104919214,ICC calculation,497,data/202601/icc_live_sp500_2026_0130_r1.csv,sp500,202601,2026
