ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
MMM,176.07,3.12,90803249152.0,515722417.0,5.724,Industrials,3M Company,8.93408,0.08532831584225797,forecast_icc,0.06547893403584248,0.032509796097345715,2026-07-30
AOS,59.81,1.44,8243530240.0,111965465.0,13.625,Industrials,A.O. Smith Corporation,3.7984,0.0973699452401009,forecast_icc,0.08176837978498941,0.18505778667768918,2026-07-30
ABT,105.61,2.52,182745792512.0,1730383296.0,29.889,Healthcare,Abbott Laboratories,5.5172,0.09884180381352858,forecast_icc,0.07294791366818246,0.28301295270996646,2026-07-30
ABBV,257.41,6.92,454790152192.0,1766792821.0,-3.767,Healthcare,AbbVie Inc.,14.11585,0.15444553462951216,forecast_icc,0.09236524351481287,,2026-07-30
ACN,163.29,6.52,99924017152.0,611942109.0,52.121,Technology,Accenture plc,13.87236,0.05846301566568335,forecast_icc,0.09016122368749702,0.3191928784715659,2026-07-30
ADBE,247.9,0.0,98540249088.0,397500000.0,28.867,Technology,Adobe Inc.,24.41073,0.12601589546891878,forecast_icc,0.10386218187693619,0.11644614871789839,2026-07-30
AMD,485.39,0.0,,,39.547,Technology,"Advanced Micro Devices, Inc.",7.45208,0.75,forecast_icc,0.12191418790999331,,2026-07-30
AES,14.85,0.7,10590392320.0,713157713.0,6.198,Utilities,The AES Corporation,2.28845,0.0398042343070637,forecast_icc,0.11933806082920084,0.4173737262619182,2026-07-30
AFL,127.36,2.44,,,58.686,Financial Services,AFLAC Incorporated,7.01797,0.07529955243467845,forecast_icc,0.06678062304408014,,2026-07-30
A,138.71,1.02,39176134656.0,282431944.0,25.236,Healthcare,"Agilent Technologies, Inc.",6.05804,0.09140249981842308,forecast_icc,0.057108049741665126,0.18193353176287388,2026-07-30
APD,300.2,7.24,,,70.28,Basic Materials,"Air Products and Chemicals, Inc",13.37,0.06924457741211665,forecast_icc,0.05823923570270545,,2026-07-30
ABNB,152.08,0.0,90260226048.0,417930233.0,12.834,Consumer Cyclical,"Airbnb, Inc.",5.08531,0.18669068355714802,forecast_icc,0.06346849031778584,0.05942502966333807,2026-07-30
AKAM,113.75,0.0,16537595904.0,145385451.0,33.726,Technology,"Akamai Technologies, Inc.",6.72181,0.075031873855405,forecast_icc,0.06299074506628691,0.2964922924038814,2026-07-30
ALB,117.76,1.64,13887984640.0,117934651.0,64.597,Basic Materials,Albemarle Corporation,12.55922,0.01,forecast_icc,0.07087631479984793,0.5485478885615328,2026-07-30
ARE,52.49,2.88,,,92.167,Real Estate,Alexandria Real Estate Equities,2.06212,0.01,forecast_icc,0.040407343176463786,,2026-07-30
ALGN,173.41,0.0,12419299328.0,71618127.0,57.939,Healthcare,"Align Technology, Inc.",11.29392,0.10179725020187846,forecast_icc,0.07446989588114372,0.3341156816228562,2026-07-30
ALLE,157.06,2.12,13355877376.0,85036786.0,24.907,Industrials,Allegion plc,8.95084,0.08550929298255805,forecast_icc,0.06897272736110494,0.1585827100140935,2026-07-30
LNT,70.89,2.14,18309259264.0,258277037.0,28.737,Utilities,Alliant Energy Corporation,3.41533,0.07913730151991172,forecast_icc,0.06650989719746281,0.40537452145114805,2026-07-30
ALL,265.38,4.32,68314365952.0,257420930.0,114.752,Financial Services,Allstate Corporation (The),31.44608,0.01,forecast_icc,0.07676041952408486,0.4324063635475371,2026-07-30
GOOGL,333.66,0.88,4080640196608.0,5867155790.0,50.896,Communication Services,Alphabet Inc.,20.5849,0.01,forecast_icc,0.045522232594581755,0.0731784099308881,2026-07-30
GOOG,333.68,0.88,4080884776960.0,5527000000.0,50.896,Communication Services,Alphabet Inc.,20.57571,0.01,forecast_icc,0.04550483293395234,0.06893166736492674,2026-07-30
MO,67.94,4.24,,,-1.922,Consumer Defensive,"Altria Group, Inc.",5.68566,0.03342619854159401,forecast_icc,0.08893346982909522,,2026-07-30
AMZN,235.5,0.0,2533299322880.0,10757109436.0,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.7588,0.14647896972187957,forecast_icc,0.05993305265461661,0.17449256550979117,2026-07-30
AMCR,45.15,2.6,20874909696.0,462345690.0,25.211,Consumer Cyclical,Amcor plc,3.97764,0.07555485162055886,forecast_icc,0.10717536174696074,0.5583831192727762,2026-07-30
AEE,108.75,3.0,,,48.992,Utilities,Ameren Corporation,5.38117,0.08459870251265067,forecast_icc,0.06812675558638784,,2026-07-30
AEP,127.78,3.8,69525741568.0,544105032.0,58.473,Utilities,American Electric Power Company,6.35158,0.07795540637132814,forecast_icc,0.06729542020115806,0.4576068204179992,2026-07-30
AXP,337.52,3.8,227930570752.0,675309833.0,50.785,Financial Services,American Express Company,17.65139,0.13875111251861738,forecast_icc,0.07807024225196701,0.15046516031506962,2026-07-30
AIG,78.89,2.0,,,75.82,Financial Services,"American International Group, I",7.98219,0.10713601154570362,forecast_icc,0.11090811190878458,,2026-07-30
AMT,174.46,6.98,81291395072.0,465960048.0,7.983,Real Estate,American Tower Corporation (REI,6.96078,0.01,forecast_icc,0.04103730971541608,0.0457583371510527,2026-07-30
AWK,136.81,3.58,,,56.519,Utilities,"American Water Works Company, I",6.08427,0.07914343051836958,forecast_icc,0.06163836262926878,,2026-07-30
AMP,544.46,6.8,48130265088.0,88400000.0,72.014,Financial Services,"Ameriprise Financial, Inc.",46.385,0.10632575185943738,forecast_icc,0.09479283905472025,0.13226683020258706,2026-07-30
AME,240.01,1.36,55011012608.0,229203002.0,47.64,Industrials,"AMETEK, Inc.",8.15222,0.08039159885282787,forecast_icc,0.04508250642890413,0.19849172915773716,2026-07-30
AMGN,387.64,10.08,209212522496.0,539708274.0,17.028,Healthcare,Amgen Inc.,22.35162,0.04863361134450206,forecast_icc,0.0631913169247752,0.04392735377418772,2026-07-30
