date,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-18,Basic Materials,0.09657377264191135,0.11843218488694401,159,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Communication Services,0.062152344373461385,0.1260758012919558,160,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Consumer Cyclical,0.08322880243563176,0.11464631408778787,391,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Consumer Defensive,0.06772509108068961,0.1086259407658252,157,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Energy,0.09660100249620125,0.12184517808074048,186,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Financial Services,0.08892106893879567,0.12134830231277978,630,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Healthcare,0.07997985677449165,0.09077271962054739,310,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Industrials,0.06830713269253234,0.0949384757230149,434,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Real Estate,0.06611284283152112,0.09518468688861668,180,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Technology,0.07140077496780611,0.08696684350240409,487,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Unknown,0.15556628648157378,0.15120766160610363,3,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,Utilities,0.07994789291574618,0.08934984461724652,90,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
