ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
ADBE,253.04,0.0,102278766592,404200000,28.16,Technology,Adobe Inc.,23.48771,0.12340922124804843,0.11128675461452323,0.09953716742753463,2026-05-08
AMD,455.19,0.0,742233079808,1630600639,38.65,Technology,"Advanced Micro Devices, Inc.",7.29692,0.7474975743190277,0.08490960105638601,0.12422652343231555,2026-05-08
ABNB,141.49,0.0,84119379968,418897799,13.62,Consumer Cyclical,"Airbnb, Inc.",4.93461,0.16549028190677673,0.06782489391327416,0.061089593726900565,2026-05-08
ALNY,295.05,0.0,39392882688,133512573,8.059,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.33418,0.48638230674788785,0.02731401594366609,0.11966154966421272,2026-05-08
GOOGL,400.8,0.88,4855869472768,5823665113,34.353,Communication Services,Alphabet Inc.,14.22259,0.014471344530075037,0.04119970043446169,0.032138951982904396,2026-05-08
GOOG,397.05,0.88,4810436771840,5456000000,34.353,Communication Services,Alphabet Inc.,13.95197,0.03674176478303792,0.038963191263047765,0.03660668741373231,2026-05-08
AMZN,272.68,0.0,2933248491520,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.60002,0.14813686479798882,0.15070046037063956,0.053793234617863006,2026-05-08
AEP,130.16,3.8,70820700160,544104955,58.473,Utilities,American Electric Power Company,6.37048,0.08071291331265473,0.44923940262997536,0.06721608586630523,2026-05-08
AMGN,331.7,10.08,179118014464,540000000,17.028,Healthcare,Amgen Inc.,22.40662,0.0486316097653281,0.0513355400210071,0.07162509460424346,2026-05-08
ADI,416.52,4.07,203346788352,488204157,69.207,Technology,"Analog Devices, Inc.",11.46783,0.1467165104470507,0.1661552924800186,0.05230943692233281,2026-05-08
AAPL,293.32,1.08,4308095467520,14687356000,7.26,Technology,Apple Inc.,8.76584,0.09728445876265135,0.024751123869913398,0.043641985074524436,2026-05-08
AMAT,435.44,2.12,345569492992,793609867,27.365,Technology,"Applied Materials, Inc.",11.06664,0.27147264210275224,0.0628444768733036,0.07010640502277676,2026-05-08
APP,468.55,0.0,157404463104,305732000,6.31,Communication Services,Applovin Corporation,15.67094,0.32452616116199784,0.012256125918903345,0.09055774644945835,2026-05-08
ARM,213.27,0.0,226918989824,1063998569,7.343,Technology,Arm Holdings plc,2.1539,0.37441385393936577,0.0344305317868142,0.04693410302664869,2026-05-08
ASML,1592.02,8.79,613592662016,385417665,1.1407381,Technology,ASML Holding N.V. - New York Re,31.33505,0.30090649288895355,0.0007165349947862837,0.06479849916281155,2026-05-08
ADSK,244.5,0.0,51625013248,211145251,14.363,Technology,"Autodesk, Inc.",12.42241,0.13535135291783162,0.05874437698532675,0.07107561860452083,2026-05-08
ADP,212.995,6.8,85141397504,399734282,15.851,Technology,"Automatic Data Processing, Inc.",11.06736,0.09736287606077676,0.07441959246304738,0.07584263254594992,2026-05-08
AXON,403.54,0.0,32526163968,80602077,40.426,Industrials,"Axon Enterprise, Inc.",7.54106,0.400589572288246,0.10017841538300395,0.0751724394392825,2026-05-08
BKR,63.89,0.92,63383265280,992068697,19.474,Energy,Baker Hughes Company,2.29827,0.2128949166111902,0.3048051519597887,0.07951428112662037,2026-05-08
