date,family,value,method,n_firms,source_file,yyyymm,year
2025-12-01,sp500,0.06735404414863305,ICC calculation,501,data/202512/icc_live_sp500_2025_1201.csv,202512,2025
2025-12-02,sp500,0.0673114017076002,ICC calculation,502,data/202512/icc_live_sp500_2025_1202.csv,202512,2025
2025-12-03,sp500,0.06703603537393457,ICC calculation,502,data/202512/icc_live_sp500_2025_1203.csv,202512,2025
2025-12-04,sp500,0.06710189754446967,ICC calculation,502,data/202512/icc_live_sp500_2025_1204.csv,202512,2025
2025-12-05,sp500,0.06700326492097802,ICC calculation,502,data/202512/icc_live_sp500_2025_1205.csv,202512,2025
2025-12-08,sp500,0.06737787282209594,ICC calculation,502,data/202512/icc_live_sp500_2025_1208.csv,202512,2025
2025-12-09,sp500,0.06739011313915971,ICC calculation,502,data/202512/icc_live_sp500_2025_1209.csv,202512,2025
2025-12-10,sp500,0.06714901135879887,ICC calculation,501,data/202512/icc_live_sp500_2025_1210.csv,202512,2025
2025-12-11,sp500,0.06701812278953245,ICC calculation,501,data/202512/icc_live_sp500_2025_1211.csv,202512,2025
2025-12-12,sp500,0.06767329735676415,ICC calculation,500,data/202512/icc_live_sp500_2025_1212.csv,202512,2025
2025-12-15,sp500,0.0678294184064622,ICC calculation,501,data/202512/icc_live_sp500_2025_1215.csv,202512,2025
2025-12-16,sp500,0.06799014070807206,ICC calculation,501,data/202512/icc_live_sp500_2025_1216.csv,202512,2025
2025-12-17,sp500,0.06857129717670164,ICC calculation,501,data/202512/icc_live_sp500_2025_1217.csv,202512,2025
2025-12-18,sp500,0.06819115690843186,ICC calculation,501,data/202512/icc_live_sp500_2025_1218.csv,202512,2025
2025-12-19,sp500,0.0681645883786361,ICC calculation,501,data/202512/icc_live_sp500_2025_1219.csv,202512,2025
2025-12-22,sp500,0.06807008963831669,ICC calculation,501,data/202512/icc_live_sp500_2025_1222.csv,202512,2025
2025-12-23,sp500,0.06802613777753075,ICC calculation,499,data/202512/icc_live_sp500_2025_1223.csv,202512,2025
2025-12-24,sp500,0.06781607432001784,ICC calculation,499,data/202512/icc_live_sp500_2025_1224.csv,202512,2025
2025-12-25,sp500,0.06783320684719624,ICC calculation,499,data/202512/icc_live_sp500_2025_1225.csv,202512,2025
2025-12-26,sp500,0.06790524480419664,ICC calculation,499,data/202512/icc_live_sp500_2025_1226.csv,202512,2025
2025-12-29,sp500,0.06804463052556269,ICC calculation,499,data/202512/icc_live_sp500_2025_1229.csv,202512,2025
2025-12-30,sp500,0.06812874034595798,ICC calculation,499,data/202512/icc_live_sp500_2025_1230.csv,202512,2025
2025-12-31,sp500,0.06846715355482065,ICC calculation,499,data/202512/icc_live_sp500_2025_1231.csv,202512,2025
